Metadata_broad_sample,Metadata_moa
BRD-K18816859-001-01-4,Serotonin receptor agonist
BRD-K19111024-001-04-3,PPAR receptor agonist
BRD-K19360254-001-01-3,Dopamine receptor agonist
BRD-K19533706-001-01-9,Angiogenesis inhibitor
BRD-K20152659-001-02-0,Cholesterol inhibitor
BRD-K20714604-001-01-5,Serotonin receptor partial agonist
BRD-K20995441-001-01-7,Opioid receptor agonist
BRD-K21520694-001-02-4,PABA antagonist
BRD-K22031190-001-04-6,Prostanoid receptor antagonist
BRD-K22193694-001-04-5,Topical sunscreen agent
BRD-K23913458-001-02-5,Vitamin K antagonist
BRD-K24201553-003-02-4,Serotonin receptor antagonist
BRD-K24240364-003-02-1,Glutamate receptor antagonist
BRD-K24526313-001-08-6,Potassium channel activator
BRD-K25394294-001-04-0,Cyclooxygenase inhibitor
BRD-K25875056-001-01-2,Protein tyrosine kinase activator
BRD-K26160755-003-01-8,Imidazoline receptor agonist
BRD-K26373640-001-02-8,IKK inhibitor
BRD-K26548821-001-01-8,Dopamine receptor agonist
BRD-K26573499-300-01-3,Adrenergic receptor agonist
BRD-K26979635-001-01-1,Glutamate receptor antagonist
BRD-K27141178-001-01-0,Serotonin receptor antagonist
BRD-K27450477-001-03-9,Adenosine deaminase inhibitor
BRD-K27499107-001-02-6,IP receptor activator
BRD-K27710560-001-02-6,SIRT inhibitor
BRD-K27871032-001-02-6,Ergoline alkaloid
BRD-K28115081-001-01-9,Platelet activating factor receptor antagonist
BRD-K28137194-003-01-3,GABA receptor agonist
BRD-K28183345-003-05-6,Dihydrofolate reductase inhibitor
BRD-K28453807-003-05-4,Cholinergic receptor antagonist
BRD-K28667196-001-02-9,Increases arterial blood pressure
BRD-K28863208-001-01-2,Cholinergic receptor agonist
BRD-K29113274-001-03-6,Sterol demethylase inhibitor
BRD-K29178788-001-02-0,Furoquinoline alkaloid
BRD-K29359156-001-04-6,H+/K+-ATPase inhibitor
BRD-K29555132-001-02-2,Cannabinoid receptor agonist
BRD-K29582677-001-02-7,Calcium channel blocker
BRD-K30197592-001-01-5,Serotonin receptor agonist
BRD-K30480208-001-04-5,Electrolyte reabsorption inhibitor
BRD-K30990140-003-01-6,Cyclooxygenase inhibitor
BRD-K31054881-300-01-3,Adrenergic receptor antagonist
BRD-K31611373-001-02-7,Prostanoid receptor agonist
BRD-K31633810-003-01-0,Acetylcholine receptor antagonist
BRD-K31699485-001-01-9,glutamate receptor modulator
BRD-K31987754-001-01-2,Cannabinoid receptor agonist
BRD-K32164935-001-06-8,ATP channel blocker
BRD-K32247306-001-04-7,GABA receptor antagonist
BRD-K32292990-001-01-0,EGFR inhibitor
BRD-K32412559-001-01-7,Adrenergic receptor antagonist
BRD-K32526544-001-01-2,Potassium channel activator
BRD-K32696739-001-02-6,Monoamine oxidase inhibitor
BRD-K32755366-003-03-4,Norepinephrine transporter inhibitor
BRD-K33204703-001-04-6,PDGFR receptor inhibitor
BRD-K33396764-001-02-0,Omega 3 fatty acid stimulant
BRD-K33453211-003-03-2,Histamine receptor antagonist
BRD-K33864865-001-01-7,CCK receptor antagonist
BRD-K34014345-001-02-6,Anti-inflammatory
BRD-K34154330-003-04-9,GABA receptor modulator
BRD-K34170797-001-01-1,FXR agonist
BRD-K34608650-001-01-6,Cannabinoid receptor agonist
BRD-K35430135-003-01-5,Adrenergic receptor antagonist
