Metadata_broad_sample,Metadata_moa
DMSO,NA
BRD-K74363950-004-01-0,acetylcholine receptor antagonist
BRD-K75958547-238-01-0,HMGCR inhibitor
BRD-K77908580-001-09-6,HDAC inhibitor
BRD-A74980173-001-11-9,bacterial DNA gyrase inhibitor
BRD-K76908866-001-07-6,EGFR inhibitor|receptor tyrosine protein kinase inhibitor
BRD-K79254416-001-22-6,DNA methyltransferase inhibitor
BRD-K68103045-001-02-9,benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist
BRD-K68164687-001-01-6,microtubule stabilizing agent|tubulin inhibitor
BRD-K68532323-003-02-8,kinesin-like spindle protein inhibitor
BRD-K50691590-001-02-2,NA
BRD-K68132782-003-13-8,fungal squalene epoxidase inhibitor
BRD-K68232413-001-01-2,benzodiazepine receptor agonist
BRD-K68552125-001-05-3,PKC activator
BRD-K68693535-001-03-4,adrenergic receptor agonist
BRD-K68747584-001-02-0,Aurora kinase inhibitor
BRD-K69247067-001-01-8,acetylcholine receptor antagonist
BRD-A69275535-001-01-5,gamma secretase inhibitor
BRD-K70330367-003-07-9,glutamate receptor antagonist
BRD-K69236721-001-02-7,CFTR channel agonist
BRD-A69636825-003-04-7,calcium channel blocker
BRD-K70358946-001-15-7,serotonin receptor agonist|serotonin receptor antagonist
BRD-K70401845-003-09-6,EGFR inhibitor
BRD-K70778732-003-26-7,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor
BRD-K70914287-300-02-8,EGFR inhibitor
BRD-K70463136-001-01-5,hypoxia inducible factor inhibitor
BRD-A70858459-001-01-7,DNA alkylating drug
BRD-K70912147-001-01-8,NA
BRD-K71221037-001-01-6,XIAP inhibitor
BRD-K71281111-001-04-3,HSP inhibitor
BRD-K71480163-001-01-4,AKT inhibitor
BRD-K72222507-003-16-8,angiotensin converting enzyme inhibitor
BRD-A72309220-001-04-1,dopamine receptor agonist|serotonin receptor antagonist
BRD-K71289571-001-11-4,leukotriene receptor antagonist
BRD-K72215350-001-06-5,5 alpha reductase inhibitor
BRD-A72390365-001-15-2,acetylcholine precursor
BRD-K73196317-003-14-8,adrenergic receptor antagonist
BRD-K60230970-001-10-0,proteasome inhibitor
BRD-K73319509-001-08-0,c-Met inhibitor
BRD-K67844266-003-01-9,nedd activating enzyme inhibitor
BRD-K73237276-001-01-0,vitamin D receptor agonist
BRD-A73368467-003-17-6,histamine receptor antagonist
BRD-K67789209-001-01-0,serotonin receptor agonist|serotonin receptor antagonist
BRD-K68488863-001-04-9,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor
BRD-K68938568-001-01-7,XIAP inhibitor
BRD-K70557564-305-03-6,P glycoprotein inhibitor
BRD-K72414522-001-06-7,CDK inhibitor
BRD-K81144366-003-19-7,adrenergic receptor antagonist
BRD-A69815203-001-07-6,calcineurin inhibitor
BRD-K71035033-001-07-1,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor
BRD-K80700417-001-04-2,Pim kinase inhibitor
BRD-A81233518-004-16-1,acetylcholine receptor antagonist
BRD-K81957469-001-01-0,gamma secretase inhibitor
BRD-K82135108-001-04-3,oxidative stress inducer
